customer_id,product_id,product_title,star_rating
12039526,B001CXYMFS,Thrustmaster T-Flight Hotas X Flight Stick,5
9636577,B00M920ND6,Tonsee 6 buttons Wireless Optical Silent Gaming Mouse For PC Laptop Gamer Red,5
2331478,B0029CSOD2,Hidden Mysteries: Titanic Secrets of the Fateful Voyage,1
52495923,B00GOOSV98,GelTabz Performance Thumb Grips - PlayStation 4 and PlayStation 3,3
14533949,B00Y074JOM,Zero Suit Samus amiibo - Japan Import (Super Smash Bros Series),4
2377552,B002UBI6W6,Psyclone Recharge Station for Nintendo Wii 4 Port With 4 Batteries,1
17521011,B008XHCLFO,Protection for your 3DS XL,5
19676307,B00BRA9R6A,Nerf 3DS XL Armor,5
224068,B009EPWJLA,One Piece: Pirate Warriors / Kaizoku Musou PS3 Game (Japanese Voice & English subtitle) [Region Free International Edition],5
48467989,B0000AV7GB,Playstation 2 Dance Pad Revolution 2,4
106569,B00008KTNN,Metal Arms: Glitch In The System,5
48269642,B000A3IA0Y,72 Pin Connector for NES 8 BIT Nintendo System (Bulk Packaging),1
52738710,B0053BQN34,uDraw Gametablet with uDraw Studio,2
10556786,B002I0HIMI,NBA 2K12(Covers May Vary),4
2963837,B0081EH12M,New Trigger Grips Black Compatible With PSVita Playstation Vita,1
23092109,B005FMLZQQ,Xbox 360 Media Remote,5
23091728,B002BSA388,Super Mario Galaxy 2,5
10712640,B00BUSLSAC,Nintendo 3DS XL - Yellow Pikachu,5
17455376,B00KWF38AW,Captain Toad:  Treasure Tracker,5
14754850,B00BRQJYA8,Lego Batman 2: DC Super Heroes,4
14533949,B0056WJA6C,Bodycount,1
2322846,B003GDFMWE,Component HDTV AV Cable for Xbox 360,5
48880662,B0053OLY9O,Wireless Stereo Headset - Playstation 3,5
10712640,B00FS2XRIC,Kingdom Hearts,5
22151364,B000PHNW3A,Shadowrun,5
1581810,B001REZLY8,Fallout 3: Game of The Year Edition,5
25401563,B001BNFQKO,Grand Theft Auto IV,1
3014276,B00RAB0J0S,Gameband,5
27975200,B0034JKYO6,Halo Wars,5
47864127,B006OI3CTS,Kingdom Hearts 3D Dream Drop Distance,5
45205407,B00KVP78FE,Sony PlayStation 4 PS4 Dualshock 4 Wireless Control,5
667240,B00005CF9L,NBA Street Vol 2,5
39746001,B00MV7KVP4,Until Dawn  - PlayStation 4 [Digital Code],5
4089089,B00KAED7OC,Far Cry 4,5
10712640,B00KVRK39A,Persona Q: Shadow of the Labyrinth,5
30477870,B00Q4Z29H2,Disney Infinity: 2.0 Edition Power Disc Album Bundle,5
2803958,B00LUF3DOY,"EagleTec MR5M2509 2.4GHz Wireless Optical Mouse, Switchable DPI 1000/1500/2000,5 Buttons, 2 Programming Keys with Nano USB Receiver (Gold Color) (2509-CG)",1
10548951,B00273Z9WM,Nyko Charge Base 360 S for Xbox 360,1
24000539,B00Q03M888,Dark Souls II: Scholar of the First Sin,5
30067162,B004UDLRMS,Resident Evil: Operation Raccoon City,5
14861684,B000AC59ZO,Fable: The Lost Chapters,4
